date_or_hour,metric,visits
2026-04-16,AR,1
2026-04-16,BA,3
2026-04-16,BE,9
2026-04-16,BR,3
2026-04-16,CA,28
2026-04-16,CH,1
2026-04-16,CN,1
2026-04-16,DE,14
2026-04-16,ES,3
2026-04-16,FR,6
2026-04-16,GB,18
2026-04-16,IE,1
2026-04-16,IL,1
2026-04-16,IS,1
2026-04-16,IT,2
2026-04-16,NL,3
2026-04-16,NO,1
2026-04-16,PL,14
2026-04-16,PT,2
2026-04-16,RO,4
2026-04-16,SE,2
2026-04-16,SG,3
2026-04-16,TH,7
2026-04-16,TW,2
2026-04-16,US,150
2026-04-17,AE,1
2026-04-17,AR,17
2026-04-17,AU,15
2026-04-17,BE,17
2026-04-17,BG,5
2026-04-17,BR,9
2026-04-17,CA,57
2026-04-17,CH,3
2026-04-17,CI,1
2026-04-17,CN,2
2026-04-17,CZ,3
2026-04-17,DE,35
2026-04-17,DK,10
2026-04-17,DO,1
2026-04-17,ES,7
2026-04-17,FI,6
2026-04-17,FR,28
2026-04-17,GB,32
2026-04-17,HK,6
2026-04-17,IE,3
2026-04-17,IN,8
2026-04-17,IQ,1
2026-04-17,IS,1
2026-04-17,IT,5
2026-04-17,JO,1
2026-04-17,JP,9
2026-04-17,KE,1
2026-04-17,KR,3
2026-04-17,LK,3
2026-04-17,LT,1
2026-04-17,MX,1
2026-04-17,MY,2
2026-04-17,NL,14
2026-04-17,OM,1
2026-04-17,PK,1
2026-04-17,PL,12
2026-04-17,PT,12
2026-04-17,RO,8
2026-04-17,RS,2
2026-04-17,RU,8
2026-04-17,SE,2
2026-04-17,SG,7
2026-04-17,SK,2
2026-04-17,TH,5
2026-04-17,TR,1
2026-04-17,TW,2
2026-04-17,US,510
2026-04-17,VN,5
2026-04-17,ZA,1
2026-04-18,AR,1
2026-04-18,AT,1
2026-04-18,AU,29
2026-04-18,BE,19
2026-04-18,BG,6
2026-04-18,BR,8
2026-04-18,CA,78
2026-04-18,CH,8
2026-04-18,CZ,2
2026-04-18,DE,30
2026-04-18,DK,5
2026-04-18,EG,1
2026-04-18,ES,24
2026-04-18,FI,10
2026-04-18,FR,10
2026-04-18,GB,54
2026-04-18,HK,1
2026-04-18,HU,5
2026-04-18,ID,2
2026-04-18,IE,1
2026-04-18,IL,2
2026-04-18,IT,2
2026-04-18,JP,16
2026-04-18,KR,2
2026-04-18,MY,7
